´Á¼Æ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
115012481,,,,,,,,,,10,,,,,,,,,,20,,,,,,26,,28,,30,,,33,34,,36,37,38,,40,41,,43,,,46,,,,,,,,,,56,,,,,,,,,65,66,,,,,71,,,74,75,,,,,
115012480,,,,4,,,,,9,,,12,,,,,,,,20,,22,,,,,,,29,,,,,,35,36,,38,39,,,42,,44,,,,,,,51,,,,,,,58,,60,,,,,,66,67,,69,,,,,,,76,,,79,
115012479,,,,,,6,,8,,,,,,,,,,18,,,21,,,24,,,,,29,30,,,,34,,36,37,,,,,,,,45,,,,,,,52,53,,,56,,,,60,,,,,,,,,69,,71,,,,,76,,78,79,
115012478,,2,,,,,,,,,,,,14,,,17,,19,,,,,,,,,28,,,,,,34,,,,38,,40,,,43,,45,46,,,,,,52,53,,,,,,,,,,,64,,,,68,69,,71,72,,74,,,,78,,
115012477,,,3,4,,,,8,,,,12,13,14,,,,,,20,,,,,,,,,,,,,33,,,,,38,,40,,,43,,,,,,,50,,,,54,55,56,,,,60,61,,,,,,67,,,,,,,,,76,77,,,
115012476,,,,,,,,,,,11,,,14,15,,17,,,,21,,,,25,,27,,,,31,32,,34,,,,,,,41,,,,,46,,,49,50,,52,,,55,,57,,,,,62,,64,,,,,,,,72,,,,,,,,
115012475,,2,,,5,,,,9,,,,,,,,17,,,,21,22,23,24,,,,,,,31,32,,,,,,,39,,41,,,,,46,,48,,,,,53,54,,,,,,,,,63,,,,67,,,,,,,74,,,,78,,
115012474,,,3,4,,,7,,9,,,,,14,15,,,,,,,,23,,,,27,,29,,31,,,,,,,,,,,42,,,,,,,49,,,,,,,,,,59,,61,62,,,,,67,,,70,71,,73,,,,,,,80
115012473,,,,4,5,6,,,,,,12,,,,,,,,,,,,,25,,27,28,,,,,33,,35,,,,,,,,,44,45,,47,,,,,52,53,,,,57,,,,61,62,63,,65,,,,,,,72,,,,,,,,
115012472,,,,4,,6,,,,,,12,,,,,,18,,,,,23,,25,,,28,,30,,,,,,36,,,,40,,,,,,46,,,,50,,,53,54,,,,,59,,,,,64,,,,,,,,,,74,,76,,78,79,
115012471,,2,3,,,,,8,,,,,13,,15,,,,,20,,22,,,,26,,,,,,,,34,,,,38,,,,,,,,,47,,49,,,52,,,,,,,59,,,,,,,,,,69,,71,,73,,,,77,,79,80
115012470,,2,3,4,,,,8,,,,12,,14,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,43,,45,46,,48,49,,51,,,,,,,,,60,61,,,,65,,,,,70,,72,73,,,,,78,,
115012469,,,3,,,,7,,,,,,,,,,17,18,,20,21,,23,,,26,,28,29,,31,,,,,,37,,,,,,,,,,,,49,,51,,,,,,57,,,60,61,,63,64,,,,,,,,,73,,,,,,,
115012468,,,,,,,,8,,10,,,,14,,,17,18,,,,,,,,26,,28,,,,,33,,35,36,,,,,,,43,,,,,,,50,,,,,55,56,,,,60,,,,,,66,,,,,71,,73,,75,,,,,80
115012467,,,,,,,,8,,,11,,13,14,,,,,,,,22,23,24,,,,28,29,,,32,,,,,,38,,,41,,43,44,,,,,49,,,52,,,,,,,,,,,,,,,67,,,70,,72,,74,,,,,,
115012466,,,,,5,6,,,9,,,,13,,,16,,,,,,22,,,25,26,27,,,,31,,,34,,36,,,,,41,,,,,,,,49,,,,,54,,56,,,,,61,,,,,,,,69,,,,73,,75,,,,,
115012465,1,,,,,,7,,,,,12,,14,,,,,19,,,,,,,,,,,30,,,33,,35,36,,,,,41,42,,44,,,,,,,,,,,,,,,,,61,62,,,65,,,68,,,,,73,,,,77,78,79,
115012464,,2,,,,6,7,,,,,12,13,,,,17,,19,,,,23,,,,,,,30,,32,33,,,,37,,,,,,43,,45,46,,,,,,,,54,,56,,,,,,62,,,,,,,,70,,,,,,,,,79,
115012463,,,,,,6,,,,,,,13,,15,,,,,20,,22,,24,,,,,,30,,32,,34,35,,,,,,,,43,44,,,,48,,50,,,,,,56,57,,,,,62,63,,,66,,,,,,,,,,76,,,,
115012462,,,,,,,7,,,,,,,,,,,,,20,,,,,25,,27,28,29,,,32,,34,35,36,,,,,,,,,,,,,49,,,52,53,,,,,,,60,,,63,,65,66,,,69,,,,,74,,,,,79,
115012461,1,,3,,,6,7,8,,,,12,,,,,,,,20,,,,,,,,,,,31,,33,,,36,,,,,41,,,44,,,,48,49,,,,,54,,,,,59,,,,63,,,,67,,,,,,,,,76,,78,,
115012460,,,3,,,,,,,,,,,14,,,17,,,20,21,,,,,,,,29,,,,,,,,,,,,,,,44,,,,48,,50,51,,,,55,,57,,59,,61,,,64,,,,68,,70,,72,,,,,,78,79,
115012459,1,,,4,,,7,,,10,,12,13,,,,,,,,,,,,25,,27,,29,,,,,,,,,,,,,42,,44,,,,,,,,,53,,,,,,,,,,63,,,,67,68,,,,,73,74,,76,77,,79,
115012458,,,,,,,7,,,10,,12,,,15,,,,,,,22,,24,,,,28,29,,,,33,,,,,,,40,41,42,,,,46,,,,,,52,,,,,,,,,,,,64,65,,67,,69,,,,,74,,,77,,,
115012457,1,,,4,,,,,,,11,12,,,,,,,,,21,,,24,,26,27,28,,,,,33,34,35,,,,,,,,,,,46,47,,,50,51,,,,,,,,,,,,,64,65,,,,69,,71,,,,,,,,,
